2025-04-07 22:01:50.244 | INFO     | __main__:main:528 - 开始分析数据库...
2025-04-07 22:01:50.245 | INFO     | __main__:main:532 - 数据库路径: /Users/aladam/Desktop/langgraph-demo/data/account_data.db
2025-04-07 22:01:50.245 | INFO     | __main__:connect_db:213 - 成功连接到数据库: /Users/aladam/Desktop/langgraph-demo/data/account_data.db
2025-04-07 22:01:50.245 | INFO     | __main__:get_transaction_data:233 - 数据库中的表: ['meter_readings']
2025-04-07 22:01:50.246 | INFO     | __main__:get_transaction_data:240 - 使用表: meter_readings
2025-04-07 22:01:50.246 | INFO     | __main__:get_transaction_data:245 - meter_readings表结构:
2025-04-07 22:01:50.246 | INFO     | __main__:get_transaction_data:247 - 列名: account_id, 类型: INTEGER
2025-04-07 22:01:50.246 | INFO     | __main__:get_transaction_data:247 - 列名: reading_time, 类型: DATE
2025-04-07 22:01:50.247 | INFO     | __main__:get_transaction_data:247 - 列名: current_reading, 类型: REAL
2025-04-07 22:01:50.247 | INFO     | __main__:get_transaction_data:247 - 列名: current_usage, 类型: REAL
2025-04-07 22:01:50.247 | INFO     | __main__:get_transaction_data:247 - 列名: average_usage, 类型: REAL
2025-04-07 22:01:50.247 | INFO     | __main__:get_transaction_data:247 - 列名: daily_average, 类型: REAL
2025-04-07 22:01:50.247 | INFO     | __main__:get_transaction_data:247 - 列名: daily_max, 类型: REAL
2025-04-07 22:01:50.247 | INFO     | __main__:get_transaction_data:247 - 列名: daily_min, 类型: REAL
2025-04-07 22:01:50.247 | ERROR    | __main__:get_transaction_data:291 - 获取交易数据失败: no such column: metadata
2025-04-07 22:01:50.247 | ERROR    | __main__:main:542 - 数据准备失败: 数据获取失败: no such column: metadata
2025-04-07 22:01:50.247 | INFO     | __main__:close_db:222 - 数据库连接已关闭
2025-04-07 22:03:18.283 | INFO     | __main__:main:531 - 开始分析数据库...
2025-04-07 22:03:18.283 | INFO     | __main__:main:535 - 数据库路径: /Users/aladam/Desktop/langgraph-demo/data/account_data.db
2025-04-07 22:03:18.284 | INFO     | __main__:connect_db:213 - 成功连接到数据库: /Users/aladam/Desktop/langgraph-demo/data/account_data.db
2025-04-07 22:03:18.284 | INFO     | __main__:get_transaction_data:233 - 数据库中的表: ['meter_readings']
2025-04-07 22:03:18.284 | INFO     | __main__:get_transaction_data:240 - 使用表: meter_readings
2025-04-07 22:03:18.285 | INFO     | __main__:get_transaction_data:245 - meter_readings表结构:
2025-04-07 22:03:18.285 | INFO     | __main__:get_transaction_data:247 - 列名: account_id, 类型: INTEGER
